,PLAYER_ID,SHOT_ZONE,NUM_SHOTS_ATTEMPTED,NUM_SHOTS_MADE,FG_pctg,ppp
102,202691,7.0,74,29,0.3918918918918919,0.7837837837837838
103,202691,8.0,28,16,0.5714285714285714,1.1428571428571428
104,202691,9.0,68,33,0.4852941176470588,1.4558823529411764
105,202691,10.0,143,58,0.40559440559440557,1.2167832167832167
106,202691,11.0,88,31,0.3522727272727273,1.0568181818181819
107,202691,12.0,236,101,0.4279661016949153,1.283898305084746
108,202691,13.0,112,45,0.4017857142857143,1.2053571428571428
109,203110,0.0,339,181,0.5339233038348082,1.0678466076696165
110,203110,1.0,9,2,0.2222222222222222,0.4444444444444444
111,203110,2.0,11,3,0.2727272727272727,0.5454545454545454
112,203110,3.0,11,1,0.09090909090909091,0.18181818181818182
113,203110,4.0,2,0,0.0,0.0
114,203110,5.0,3,1,0.3333333333333333,0.6666666666666666
115,203110,6.0,3,1,0.3333333333333333,0.6666666666666666
116,203110,7.0,9,2,0.2222222222222222,0.4444444444444444
117,203110,9.0,8,3,0.375,1.125
118,203110,10.0,82,26,0.3170731707317073,0.9512195121951219
119,203110,11.0,106,32,0.3018867924528302,0.9056603773584906
120,203110,12.0,56,16,0.2857142857142857,0.8571428571428571
121,203110,13.0,11,4,0.36363636363636365,1.0909090909090908
122,203546,0.0,148,91,0.6148648648648649,1.2297297297297298
123,203546,1.0,26,12,0.46153846153846156,0.9230769230769231
124,203546,2.0,30,15,0.5,1.0
125,203546,3.0,17,5,0.29411764705882354,0.5882352941176471
126,203546,4.0,12,5,0.4166666666666667,0.8333333333333334
127,203546,5.0,15,12,0.8,1.6
128,203546,6.0,7,3,0.42857142857142855,0.8571428571428571
129,203546,7.0,12,5,0.4166666666666667,0.8333333333333334
130,203546,8.0,3,2,0.6666666666666666,1.3333333333333333
131,203546,9.0,24,8,0.3333333333333333,1.0
132,203546,10.0,54,21,0.3888888888888889,1.1666666666666667
133,203546,11.0,32,12,0.375,1.125
134,203546,12.0,28,12,0.42857142857142855,1.2857142857142856
135,203546,13.0,25,8,0.32,0.96
136,203949,0.0,88,53,0.6022727272727273,1.2045454545454546
137,203949,1.0,4,1,0.25,0.5
138,203949,2.0,2,0,0.0,0.0
139,203949,3.0,7,4,0.5714285714285714,1.1428571428571428
140,203949,4.0,2,0,0.0,0.0
141,203949,5.0,1,1,1.0,2.0
142,203949,6.0,4,1,0.25,0.5
143,203949,8.0,1,0,0.0,0.0
144,203949,9.0,1,0,0.0,0.0
145,203949,10.0,2,1,0.5,1.5
146,203949,11.0,2,0,0.0,0.0
147,203949,12.0,2,0,0.0,0.0
148,203949,13.0,1,1,1.0,3.0
149,1626172,0.0,88,54,0.6136363636363636,1.2272727272727273
150,1626172,1.0,3,0,0.0,0.0
151,1626172,2.0,1,0,0.0,0.0
152,1626172,4.0,2,0,0.0,0.0
153,1626172,5.0,4,0,0.0,0.0
154,1626172,10.0,2,0,0.0,0.0
155,1626172,11.0,4,1,0.25,0.75
156,1626172,12.0,3,1,0.3333333333333333,1.0
157,1627362,0.0,5,3,0.6,1.2
158,1627362,2.0,2,0,0.0,0.0
159,1627362,6.0,1,1,1.0,2.0
160,1627362,7.0,3,1,0.3333333333333333,0.6666666666666666
161,1627362,10.0,2,0,0.0,0.0
162,1627362,11.0,1,0,0.0,0.0
163,1627745,0.0,9,7,0.7777777777777778,1.5555555555555556
164,1627745,1.0,1,0,0.0,0.0
165,1627745,5.0,1,1,1.0,2.0
166,1627745,7.0,5,0,0.0,0.0
167,1627775,0.0,89,56,0.6292134831460674,1.2584269662921348
168,1627775,1.0,4,1,0.25,0.5
169,1627775,2.0,7,3,0.42857142857142855,0.8571428571428571
170,1627775,3.0,5,1,0.2,0.4
171,1627775,4.0,2,1,0.5,1.0
172,1627775,5.0,4,0,0.0,0.0
173,1627775,6.0,3,0,0.0,0.0
174,1627775,7.0,6,2,0.3333333333333333,0.6666666666666666
175,1627775,8.0,2,1,0.5,1.0
176,1627775,9.0,24,7,0.2916666666666667,0.875
177,1627775,10.0,30,6,0.2,0.6000000000000001
178,1627775,11.0,16,5,0.3125,0.9375
179,1627775,12.0,32,14,0.4375,1.3125
180,1627775,13.0,21,9,0.42857142857142855,1.2857142857142856
