"NBA_ID","SS_ID"
1891,"ff412e5c-89ef-11e6-b429-a45e60e298d3"
1938,"ff40273a-89ef-11e6-ac65-a45e60e298d3"
2037,"ff4110b5-89ef-11e6-9100-a45e60e298d3"
2200,"ff4292c5-89ef-11e6-9469-a45e60e298d3"
2207,"ff420245-89ef-11e6-a51a-a45e60e298d3"
2225,"ff419a66-89ef-11e6-a2a6-a45e60e298d3"
2403,"ff4295ee-89ef-11e6-8d6a-a45e60e298d3"
2544,"ff41e9f0-89ef-11e6-87b7-a45e60e298d3"
2546,"ff41a705-89ef-11e6-8b57-a45e60e298d3"
2548,"ff424a3a-89ef-11e6-8010-a45e60e298d3"
2561,"ff42cc75-89ef-11e6-a9c8-a45e60e298d3"
2585,"ff403f19-89ef-11e6-8e8d-a45e60e298d3"
2594,"ff41d370-89ef-11e6-a419-a45e60e298d3"
2731,"ff41c380-89ef-11e6-b2b9-a45e60e298d3"
2733,"ff41a4cc-89ef-11e6-930f-a45e60e298d3"
2738,"ff41b642-89ef-11e6-8ec0-a45e60e298d3"
2747,"ff403f7d-89ef-11e6-b44d-a45e60e298d3"
2772,"ff41881e-89ef-11e6-ab27-a45e60e298d3"
101108,"ff4144dc-89ef-11e6-85fd-a45e60e298d3"
101109,"ff41a45e-89ef-11e6-8e75-a45e60e298d3"
101123,"ff415a3a-89ef-11e6-a0bf-a45e60e298d3"
101133,"ff4231c5-89ef-11e6-9db4-a45e60e298d3"
101139,"ff41fa26-89ef-11e6-882b-a45e60e298d3"
101141,"ff415e54-89ef-11e6-b695-a45e60e298d3"
101161,"ff4157f5-89ef-11e6-be80-a45e60e298d3"
101162,"ff4206b0-89ef-11e6-a91d-a45e60e298d3"
101181,"ff423675-89ef-11e6-a600-a45e60e298d3"
101187,"ff417e97-89ef-11e6-b78b-a45e60e298d3"
200746,"ff4291dc-89ef-11e6-8416-a45e60e298d3"
200752,"ff4039fa-89ef-11e6-bd79-a45e60e298d3"
200755,"ff413ed7-89ef-11e6-8c36-a45e60e298d3"
200765,"ff411263-89ef-11e6-9227-a45e60e298d3"
200768,"ff41baca-89ef-11e6-8ca0-a45e60e298d3"
200782,"ff41362b-89ef-11e6-babd-a45e60e298d3"
201142,"ff42cfdc-89ef-11e6-8347-a45e60e298d3"
201143,"ff427c2e-89ef-11e6-8d2a-a45e60e298d3"
201145,"ff4177f3-89ef-11e6-95d8-a45e60e298d3"
201147,"ff41f768-89ef-11e6-ad78-a45e60e298d3"
201152,"ff42dffd-89ef-11e6-a58a-a45e60e298d3"
201156,"ff413c57-89ef-11e6-bef8-a45e60e298d3"
201158,"ff41b1b8-89ef-11e6-a583-a45e60e298d3"
201160,"ff42bb1c-89ef-11e6-91a1-a45e60e298d3"
201166,"ff415697-89ef-11e6-a31e-a45e60e298d3"
201281,"67da2488-7858-41d6-ab1a-0f4faedce9b7"
201565,"ff412038-89ef-11e6-9f9e-a45e60e298d3"
201566,"ff42cbd7-89ef-11e6-8a00-a45e60e298d3"
201567,"ff42aecf-89ef-11e6-8cb8-a45e60e298d3"
201569,"ff4252dc-89ef-11e6-8da2-a45e60e298d3"
201573,"ff41b49e-89ef-11e6-85ab-a45e60e298d3"
201580,"ff41d4eb-89ef-11e6-8055-a45e60e298d3"
201583,"ff418d17-89ef-11e6-95e4-a45e60e298d3"
201586,"ff41e09c-89ef-11e6-a26f-a45e60e298d3"
201588,"ff41ab8f-89ef-11e6-878b-a45e60e298d3"
201601,"ff411475-89ef-11e6-8b53-a45e60e298d3"
201609,"ff41920c-89ef-11e6-b546-a45e60e298d3"
201935,"ff42a0d4-89ef-11e6-9944-a45e60e298d3"
201937,"ff426628-89ef-11e6-83ab-a45e60e298d3"
201939,"ff4179a1-89ef-11e6-909f-a45e60e298d3"
201942,"ff41b9f8-89ef-11e6-b823-a45e60e298d3"
201943,"ff42dad4-89ef-11e6-9015-a45e60e298d3"
201949,"ff42429c-89ef-11e6-ba59-a45e60e298d3"
201950,"ff41d294-89ef-11e6-b957-a45e60e298d3"
201951,"ff4254e3-89ef-11e6-9f18-a45e60e298d3"
201952,"ff42d8f5-89ef-11e6-afb4-a45e60e298d3"
201954,"ff42d1b3-89ef-11e6-88b1-a45e60e298d3"
201957,"ff411975-89ef-11e6-81a2-a45e60e298d3"
201959,"ff42877a-89ef-11e6-a6cd-a45e60e298d3"
201961,"ff41296e-89ef-11e6-8827-a45e60e298d3"
201973,"ff4137d9-89ef-11e6-ad62-a45e60e298d3"
201980,"ff427063-89ef-11e6-9a2b-a45e60e298d3"
201988,"ff4113a3-89ef-11e6-bbac-a45e60e298d3"
202322,"ff41f061-89ef-11e6-bccf-a45e60e298d3"
202323,"ff416b07-89ef-11e6-b807-a45e60e298d3"
202324,"ff4036a1-89ef-11e6-a631-a45e60e298d3"
202327,"ff4166f5-89ef-11e6-8268-a45e60e298d3"
202328,"ff4279b8-89ef-11e6-9faa-a45e60e298d3"
202329,"ff41c24a-89ef-11e6-9d40-a45e60e298d3"
202331,"ff412894-89ef-11e6-ac03-a45e60e298d3"
202334,"ff41853a-89ef-11e6-9ab7-a45e60e298d3"
202335,"ff4174a1-89ef-11e6-a875-a45e60e298d3"
202337,"ff41bdb8-89ef-11e6-ad28-a45e60e298d3"
202339,"ff403c19-89ef-11e6-8fd5-a45e60e298d3"
202344,"ff4277c5-89ef-11e6-926b-a45e60e298d3"
202348,"ff429c42-89ef-11e6-9777-a45e60e298d3"
202355,"ff425d2b-89ef-11e6-8e2c-a45e60e298d3"
202357,"ff4248a8-89ef-11e6-9a62-a45e60e298d3"
202362,"ff426e70-89ef-11e6-8e05-a45e60e298d3"
202379,"ff429833-89ef-11e6-9c74-a45e60e298d3"
202684,"ff41f1fa-89ef-11e6-a048-a45e60e298d3"
202685,"ff429666-89ef-11e6-a005-a45e60e298d3"
202691,"ff41a31e-89ef-11e6-8405-a45e60e298d3"
202692,"ff413140-89ef-11e6-aebf-a45e60e298d3"
